level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,processed,new_classification
114,59,11,0.4675395520165606,0.3593538680070102,0.1731065799764291,0.8149305360067758,3.076963939688081,0.8268934200235709,-0.6624161909523629,0.1014950319387285,1.3395607633432256,True,Trees
38,53,4,0.9294317980213644,0.0695748083419469,0.0009933936366888,0.01431936738719,0.3721324110491141,0.9990066063633112,0.4609332518900392,0.0009270522952237,0.5763517294128181,True,Terrain
36,46,4,0.0229831280267269,0.9674290457141544,0.0095878262591186,0.2815910747049557,2.6537271671484772,0.9904121737408812,-0.6784897602860352,0.0048262375839791,1.1587972633482233,True,Terrain
1,56,4,0.3651269716360538,0.5636412886032598,0.0712317397606864,0.5923099317763642,2.8364027777695364,0.9287682602393136,-0.6494238072227639,0.0417510935386371,1.2156396068705897,True,Buildings
76,25,5,0.2497930750674142,0.5389304731572433,0.2112764517753425,0.6765734431192003,2.452197945939304,0.7887235482246575,0.1326368387239606,0.1077125884849149,1.1183293885221046,True,Trees
52,40,4,0.0110744368178449,0.9818376784582116,0.0070878847239434,0.2566389652583665,2.676656507595182,0.9929121152760566,-0.723563900746292,0.0035510205261286,1.1578172179341937,True,Terrain
93,65,3,0.1749129277343697,0.2670260588008152,0.558061013464815,1.058594188967363,3.2670319374030266,0.441938986535185,-0.3669056885630546,0.2341696753157355,1.1705298899711258,True,Trees
82,12,5,0.0170363350568622,0.981070802156702,0.0018928627864356,0.1663361115164694,2.6842943176604903,0.9981071372135644,-0.7714192951181158,0.0009536521960107,1.1624768374833936,True,Terrain
9,4,3,0.5614286969063752,0.4359712303491765,0.0026000727444482,0.0457812926525204,0.6315316326060408,0.9973999272555518,0.6862407386133316,0.0018041384862617,0.6486332953023436,True,Trees
29,29,4,0.1963797428409217,0.7923408421854667,0.0112794149736115,0.2760728979988344,2.4030561178323615,0.9887205850263884,-0.3749539233733326,0.0062148972457287,1.1506687015624937,True,Terrain
86,57,4,0.7370439736562804,0.2187757347750032,0.0441802915687163,0.0213725566423697,0.1233502752183994,0.9558197084312836,0.3373282171002098,0.0337992992492738,0.3025996756290049,True,Trees
101,56,6,0.4701327953952596,0.2432880646757946,0.2865791399289457,0.992889387982362,3.3805412355062296,0.7134208600710543,-0.8069784896486398,0.1577691192428343,1.3628533326471464,True,Trees
51,63,2,0.00563668881986,0.993377670577496,0.0009856406026439,0.1325643359989713,2.6629172167528,0.999014359397356,-0.75191987300341,0.0004939690382292,1.1563673735458773,True,Terrain
83,63,1,0.048876377071867,0.9337101595657884,0.0174134633623447,0.3482676006221927,2.689568646509663,0.9825865366376554,-0.6779001205925678,0.0088458904247309,1.1656396657771688,True,Terrain
62,68,4,0.0948805994629727,0.6816806355225333,0.2234387650144939,0.8146337740172684,2.954108679021644,0.7765612349855062,-0.3782713678580212,0.1049718859604664,1.1780273814931308,True,Trees
11,5,6,0.6465968712831366,0.1400159928243092,0.2133871358925541,0.4699004543816441,1.7426246562932868,0.7866128641074459,0.5900910787554675,0.1361938101815746,1.0523914169298578,True,Trees
109,26,10,0.3213888868197518,0.414840572015965,0.2637705411642831,0.948576153721662,3.269321904692587,0.7362294588357169,-0.667727124339351,0.135797483761395,1.294073188012761,True,Trees
79,66,4,0.1146907761575174,0.4752822341125231,0.4100269897299594,1.0609403198503262,3.413774148302448,0.5899730102700406,-0.6509903718434098,0.1786348280070904,1.2175148188305496,True,Trees
102,63,5,0.5071813334711971,0.3792685742077009,0.113550092321102,0.4261808325369886,1.7898402998757643,0.886449907678898,0.4702274943832659,0.0706874381710456,1.0498824090074972,True,Trees
7,17,4,0.0163065894946733,0.9818909210918324,0.0018024894134944,0.1633481088852957,2.679614241016361,0.9981975105865056,-0.7661617880266283,0.0009078283231751,1.1604855339469429,True,Terrain
110,65,8,0.8672049385850877,0.0974155095342092,0.035379551880703,0.0120444564538683,0.0840072727408319,0.9646204481192968,0.2489142239627194,0.0302861845121693,0.255686747285881,True,Trees
89,51,3,0.0212130305034926,0.9714573413166906,0.0073296281798168,0.2613819191517629,2.691680916242054,0.9926703718201833,-0.7409565009703085,0.0036904319657729,1.1620528703626238,True,Terrain
42,60,3,0.0185719332172219,0.9807474333190837,0.0006806334636944,0.1171786317844629,2.6569617366935785,0.9993193665363056,-0.7472322198604744,0.0003433885657278,1.1572472833057883,True,Terrain
78,21,8,0.8295466369060275,0.0392833484388166,0.1311700146551558,0.2268404892451782,1.0480754178788632,0.8688299853448441,0.6844479339207075,0.1007741693161547,0.889473432680931,True,Trees
102,49,7,0.5958148810521448,0.1974005929450871,0.2067845260027681,0.6909531672011487,2.545871720165592,0.7932154739972319,-0.0714096514803973,0.1283602870177644,1.2561235338084442,True,Trees
7,19,4,0.0232691673883463,0.962433525308934,0.0142973073027197,0.3225642968309327,2.66696496567949,0.9857026926972804,-0.6673757868304361,0.0071808665161983,1.1585082896069003,True,Terrain
24,15,7,0.7906205192112888,0.1475067867420725,0.0618726940466385,0.1625852498270283,0.8800387658013764,0.9381273059533614,0.6694962778396906,0.0486706691806857,0.8169460115663976,True,Buildings
83,26,7,0.2205214596387198,0.0884743029676143,0.6910042373936658,1.1855373209167646,3.5997204029197567,0.3089957626063341,-0.6999894764379374,0.2797041305512021,1.2064660287641498,True,Trees
113,55,13,0.7724281849266269,0.0830087014290282,0.1445631136443449,0.3622240111394107,1.5511319122917293,0.8554368863556551,0.5066860975757095,0.1053563396855158,1.0613605389290843,True,Trees
83,21,6,0.1525220183125788,0.1411615916931885,0.7063163899942326,1.129773956064705,3.423483575073063,0.2936836100057674,-0.4861253803829876,0.276575278662365,1.15607160128834,True,Trees
86,27,6,0.2358412209409012,0.2800637779266484,0.4840950011324503,1.1076008090054963,3.4688899991080513,0.5159049988675497,-0.6453798810692881,0.2153204435360522,1.240539205770899,True,Trees
22,66,5,0.2140708177690688,0.58979432643233,0.1961348557986011,0.9313980823310506,3.4430258989946743,0.8038651442013989,-1.017420665094229,0.0989548531406626,1.3168042388618486,True,Trees
109,27,8,0.0508769064646246,0.7066221957782495,0.242500897757126,0.986040545335196,3.526269672645463,0.7574991022428741,-1.0445601337795236,0.1106489519737882,1.2697403689605902,True,Trees
101,16,7,0.162834378275756,0.8345245082247925,0.0026411134994513,0.195033346620255,2.7543233706161874,0.9973588865005486,-0.8651750529667819,0.0014355385535265,1.2224510294917426,True,Terrain
105,62,3,0.436728720757731,0.543869033249797,0.0194022459924721,0.2911910137351606,2.0767271211022944,0.9805977540075278,-0.0395905367562098,0.0122591587482291,1.1466406895294738,True,Terrain
116,35,14,0.6190275891423738,0.1394315125418438,0.2415408983157823,0.3888697732968842,1.397540450687297,0.7584591016842177,0.820851844593639,0.1488683617879447,0.929898200537442,True,Trees
100,50,5,0.2146456094689962,0.6287276823069147,0.1566267082240891,0.7752992082712172,3.0274048816760932,0.8433732917759108,-0.5956779211953637,0.0806530549264844,1.2476986021218133,True,Trees
66,49,3,0.0445036012500241,0.9409524951264332,0.0145439036235425,0.3320384595064894,2.7207803789217913,0.9854560963764576,-0.7333928492850867,0.0073825411622391,1.1687946339256392,True,Terrain
113,38,12,0.2504969296090913,0.1771193207204845,0.572383749670424,1.169146866017492,3.5993428132864027,0.4276162503295759,-0.7477662761859579,0.2465166453097419,1.24413285305318,True,Trees
60,69,3,0.8576191288502217,0.0509389215586376,0.0914419495911406,0.0280224879391839,0.1469694657134823,0.9085580504088594,0.371813485776621,0.0741127073141904,0.3431598458816419,True,Trees
68,68,2,0.4849852458131682,0.2930287815923537,0.221985972594478,0.7065291487470776,2.528609021649553,0.778014027405522,0.0343597611715745,0.1277984339165025,1.210488548103004,True,Trees
29,53,4,0.4396182354733812,0.5566533591421079,0.0037284053845108,0.1590972220364763,1.946529079621541,0.9962715946154892,0.0040660604586585,0.0023837229986956,1.1110084556334512,True,Terrain
78,48,3,0.0107632403915643,0.9787280657136428,0.0105086938947929,0.2929851553627352,2.684544899431177,0.9894913061052072,-0.7119375011309867,0.0052550157703239,1.1613250195496434,True,Terrain
72,69,4,0.7038819496971583,0.2747257556788486,0.0213922946239929,0.0766232621334513,0.545599445969442,0.978607705376007,0.6643042055404652,0.0162369082765577,0.6583506633238222,True,Trees
109,30,9,0.1044891432803734,0.6220196384215505,0.273491218298076,0.7962111485508957,2.7602609496917747,0.7265087817019239,-0.088379792211057,0.1260908052823527,1.1312212807910345,True,Trees
10,44,4,0.0249267518693653,0.9643043776208662,0.0107688705097684,0.2898123966137763,2.6282048386145673,0.9892311294902316,-0.6394216683438781,0.0054228230979113,1.154994972659615,True,Terrain
35,14,4,0.7728520160564707,0.1806632018441726,0.0464847820993566,0.3252284686358376,1.8881053185620664,0.9535152179006434,-0.0327877347280594,0.0364977906808903,1.2204189169386066,True,Buildings
113,19,15,0.7029917413139378,0.0945538386332941,0.2024544200527679,0.6389371744555284,2.4454674586315477,0.7975455799472321,-0.0807233707838354,0.1350179787222504,1.281250754882119,True,Trees
24,67,3,0.5771504119410723,0.1668791949537458,0.2559703931051819,0.7104006494181125,2.5025471203440293,0.7440296068948181,0.0634382700367421,0.152470423259848,1.2154747836236657,True,Trees
100,42,8,0.5325274959236415,0.4371983513075635,0.0302741527687949,0.2005948114031218,1.2420775085018656,0.969725847231205,0.6150886243817224,0.0202131332628472,0.9112242948419258,True,Trees
110,48,8,0.5684474532985964,0.3181094102359763,0.1134431364654272,0.629187026933923,2.6572743373433028,0.8865568635345727,-0.3925796486024426,0.0734261834524346,1.3094630947392467,True,Trees
67,64,2,0.7067709754329301,0.2902860566384556,0.0029429679286143,0.0851438819019581,1.1591827724911272,0.9970570320713856,0.4665349455092761,0.0022705072672862,0.9438563343465562,True,Terrain
68,1,2,0.0212950546853547,0.9723678642692424,0.0063370810454029,0.2504714374348658,2.706123208780499,0.993662918954597,-0.7661206965929697,0.0031924165641083,1.16258896275866,True,Terrain
31,5,3,0.011167353246396,0.987905090522438,0.0009275562311658,0.1306276295406867,2.6751497928912817,0.9990724437688342,-0.7681828533699325,0.0004661648322116,1.1589703824572504,True,Terrain
