level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,classification,processed
114,59,11,0.46753955201656067,0.3593538680070102,0.1731065799764291,0.8149305360067758,3.076963939688081,0.8268934200235709,-0.6624161909523629,0.1014950319387285,1.3395607633432256,8,True
38,53,4,0.9294317980213643,0.06957480834194692,0.0009933936366888182,0.014319367387190005,0.37213241104911415,0.9990066063633113,0.4609332518900392,0.0009270522952237573,0.5763517294128181,7,True
36,46,4,0.022983128026726904,0.9674290457141544,0.009587826259118632,0.2815910747049557,2.6537271671484772,0.9904121737408813,-0.6784897602860352,0.004826237583979103,1.1587972633482233,7,True
1,56,4,0.3651269716360538,0.5636412886032598,0.07123173976068643,0.5923099317763642,2.8364027777695364,0.9287682602393136,-0.6494238072227639,0.04175109353863717,1.2156396068705897,5,True
76,25,5,0.24979307506741422,0.5389304731572433,0.2112764517753425,0.6765734431192003,2.452197945939304,0.7887235482246575,0.13263683872396062,0.10771258848491494,1.1183293885221046,8,True
52,40,4,0.01107443681784495,0.9818376784582117,0.007087884723943433,0.25663896525836655,2.676656507595182,0.9929121152760566,-0.723563900746292,0.00355102052612868,1.1578172179341937,7,True
93,65,3,0.17491292773436976,0.26702605880081526,0.558061013464815,1.0585941889673627,3.2670319374030266,0.441938986535185,-0.3669056885630546,0.23416967531573554,1.1705298899711258,8,True
82,12,5,0.017036335056862268,0.9810708021567021,0.0018928627864356635,0.16633611151646943,2.6842943176604903,0.9981071372135643,-0.7714192951181158,0.000953652196010792,1.1624768374833936,2,True
9,4,3,0.5614286969063752,0.43597123034917656,0.002600072744448244,0.045781292652520456,0.6315316326060408,0.9973999272555518,0.6862407386133316,0.0018041384862617354,0.6486332953023436,8,True
29,29,4,0.1963797428409217,0.7923408421854667,0.011279414973611533,0.2760728979988344,2.4030561178323615,0.9887205850263885,-0.37495392337333266,0.006214897245728788,1.1506687015624937,7,True
86,57,4,0.7370439736562804,0.21877573477500326,0.04418029156871639,0.02137255664236972,0.12335027521839945,0.9558197084312837,0.3373282171002098,0.033799299249273856,0.3025996756290049,8,True
101,56,6,0.47013279539525965,0.24328806467579467,0.2865791399289457,0.9928893879823621,3.3805412355062296,0.7134208600710543,-0.8069784896486398,0.15776911924283435,1.3628533326471464,8,True
51,63,2,0.005636688819860001,0.993377670577496,0.0009856406026439585,0.1325643359989713,2.6629172167528,0.999014359397356,-0.75191987300341,0.0004939690382292873,1.1563673735458773,7,True
